jurisdiction,review_desk_all,review_field_all,review_desk_or_field_all,review_desk_over_threshold,review_field_over_threshold,review_desk_or_field_over_threshold,review_desk_random,review_field_random,review_desk_or_field_random,review_desk_complaints,review_field_complaints,review_desk_or_field_complaints,approx_reports_filed_annually,approx_reported_expenditures_prior_year,public_access_unrestricted,public_access_restricted,public_access_not_available,public_access_agency_compiles_publishes,approx_reported_expenditures_prior_year_numeric,_footnotes,_scan_page
New Jersey,—,—,*,—,—,—,—,—,—,—,—,—,500,,*,—,—,*,,approx_reported_expenditures_prior_year=k,170
New Mexico,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,NLA.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,170
New York,*,—,~,—,—,—,—,—,—,—,~,—,"3,000",,*,—,~,*,,approx_reported_expenditures_prior_year=i,170
North Carolina,*,—,—,—,—,—,—,ad,—,—,—,—,,N.A.,*,—,—,*,,approx_reports_filed_annually=i,170
North Dakota,(h),—,—,—,—,—,—,—,—,—,—,—,300,_,*,—,—,—,,,170
Ohio,N.A.,N.A.,N.A.,"N.A,",N.A.,N.A.,N.A.,N.A.,"N.A,",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,,170
Oklahoma,—,—,—,—,—,—,—,—,—,*,—,—,800,,*,—,—,—,,approx_reported_expenditures_prior_year=m,170
Oregon,—,—,—,—,—,—,,—,—,—,—,*,"5,000",,*,—,—,—,,approx_reported_expenditures_prior_year=n,170
Pennsylvania,N.A.,NA.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,170
South Dakota,*,—,—,—,—,—,—,—,—,—,,—,500,-,*,,,(0),,,170
Tennessee,*,—,—,—,—,—,—,—,—,—,—,*,,N.A.,*,—,—,—,,approx_reports_filed_annually=p,170
Texas,(q),—,—,—,—,—,—,—,,—,—,—,,,*,—,—,(u),,approx_reports_filed_annually=s; approx_reported_expenditures_prior_year=t,170
Utah,—,—,—,—,—,—,—,—,—,—,—,—,_,—,*,—,—,*,,,170
Vermont,—,—,—,—,—,—,—,—,—,*,—,—,"1,000",,*,—,—,—,,approx_reported_expenditures_prior_year=v,170
Virginia,*,—,—,,—,—,—,—,—,—,—,,,,—,*,—,*,,approx_reports_filed_annually=w; approx_reported_expenditures_prior_year=x,170
Washington,—,—,—,—,—,—,*,—,*,—,—,*,{y),,*,—,—,*,,approx_reported_expenditures_prior_year=z,170
West Virginia,,*,,—,—,—,—,—,,—,~,—,,N.A.,,—,—,—,,approx_reports_filed_annually=aa,170
Wisconsin,*,—,—,—,—,—,—,—,—,—,—,—,,-,*,—,—,—,,approx_reports_filed_annually=bb,170
Wyoming,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,170
