jurisdiction,compliance_agency_name,auth_subpoena_witnesses,auth_subpoena_records,auth_conduct_administrative_hearings,auth_impose_administrative_fines,auth_impose_administrative_penalties_amount,auth_file_independent_court_actions,auth_request_other_official_mandatory,auth_request_other_official_discretionary,auth_who_else_can_prosecute,auth_impose_administrative_penalties_amount_numeric,_footnotes,_scan_page
Mississippi,Secretary of State’s Office,—,—,—,—,-,—,*,—,Attorney general,,,174
Missouri,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,174
Montana,Commr. of Political,,,,—,_,*,—,—,,,,174
Nebraska,Practices NE & Accountability Disclosure Commission,*,*,*,(0),,*,—,*,Attorney general,,auth_impose_administrative_penalties_amount=p,174
Nevada,Legislative Counsel Bureau,*,*,—,—,—,—,—,,Attorney general,,,174
New Hampshire,Secretary of State’s Office,—,—,—,—,_,—,—,—,Attorney general,,,174
New Jersey,NJ Election Law Enforcement Commission,,,,,—,—,—_,—,,,,174
New Mexico,,—,—,=,(q),NLA.,N.A.,N.A.,N.A.,,,,174
New York,NY State Commission,*,,*,,*,,,,,,,174
North Carolina,on Lobbying Secretary of State’s Office,—,—,—,—,,—,*,—,,,auth_impose_administrative_penalties_amount=s; auth_who_else_can_prosecute=t,174
North Dakota,Secretary of State’s Office,—,—,—,—,_,—,—,*,,,,174
Ohio,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,174
Oklahoma,4 = OK Council on Campaign Compliance & Ethical!,,,,,,,Basis,Basis,Prosecute:,,,175
Oregon,a Standards OR Govt. Ethics Commission,*,*,*,—,,—,—,*,,,auth_impose_administrative_penalties_amount=u; auth_who_else_can_prosecute=v,175
Pennsylvania,,N.A.,N.A.,*,—,,~,~,*,,,auth_impose_administrative_penalties_amount=q,175
Rhode Island,,NA.,NA.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,175
South Carolina,8,"N.A,",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,175
South Dakota,5 § Secretary of State’s Office,—,,,,N.A.,N.A.,N.A.,N.A.,,,,175
Tennessee,/ TN Registary of Election,,—,,—,,—,—,—,,,,175
Texas,0 Finance 2 Secretary of State’s Office State Ethics Advisory ed Commission,*,—,*,(w),(x) _,—,—,*,Attorney general,,auth_who_else_can_prosecute=aa,175
Utah,3 © Lt. Office,—,—,,—,_,—,—,—,"Attorney general, county attorney of district at- torney",,,175
Vermont,Secretary of Office,~_,—,—,—,—,~—,—,—,,,,175
Virginia,Secretary of,,—_,—,—,—,~,—,—,,,auth_who_else_can_prosecute=bb,175
Alberta,Department Justice U.S.A. (Federal) Federal Election Commission Chief Electoral Officer's,—_N.A.,N.A.,N.A.,—,- N.A.,N.A.,—,—,,,,176
British Columbia,Office Elections,N.A.,N.A.,N.A.,N.A.,N.A. N.A.,N.A.,N.A.,N.A.,,,,176
District of Columbia,Office Campaign Finance Virgin Islands,*,*,*,(ii),_,*,—,*,,,auth_who_else_can_prosecute=i,176
Manitoba,Chief Electoral,Office,N.A.,NA.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,176
Washington,| ad WA State Public © Disclosure Commission,*,id,*,—,,,—,*,,,auth_impose_administrative_penalties_amount=ee,176
West Virginia,WV Ethics Commission,*,*,*,(ff),,*,—,*,,,auth_impose_administrative_penalties_amount=ge,176
Wisconsin,WI State Ethics Board,*,*,*,*,_,—,=,*,,,,176
Wyoming,Legislative Service Office,—,—,—,—,—,—,—,(hh),,,,176
Newfoundland,| 8 Chief OO Electoral,,Records,Hearings,Fines,Penalties Amount$,Independent,Mandatory,Discretionary,"Violations on Its Own Violation, Who Does Have Authority to Prosecute:",,,177
Nova Scotia,a Office ¢ Chief Electoral,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,177
Ontario,ffice B Commission on Election £,N.A.,N.A.,"N.A,",,"N.A,",,N.A.,N.A.,,,,177
Quebec,Finances 8,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,177
Saskatchewan,5 Chief Electoral Officer ~,,N.A.,N.A.,N.A.,N.A.,"N.A,",N.A.,NA.,,,,177
